@timestamp,sourceApp,msg,suid,zid
2025-06-12 10:27:28.809,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-11 05:42:33.835,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-10 02:08:18.112,windows,METRICS:record-login-response,e80c5c7a-b701-41fb-a3e0-cc5fd2f3ea19,a750ad30-528b-4650-a06a-b83a8413fe5a
2025-06-10 02:04:01.565,windows,METRICS:record-login-response,867042fe-093d-444a-92cd-e1557e3cfc6f,a3878e76-6047-407d-92d3-43b41da9d11a
2025-06-09 06:35:35.062,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-09 05:27:29.472,windows,METRICS:record-login-response,e80c5c7a-b701-41fb-a3e0-cc5fd2f3ea19,a750ad30-528b-4650-a06a-b83a8413fe5a
2025-06-06 10:11:58.872,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-06 10:09:02.768,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-06 04:29:41.348,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-06 04:25:39.735,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-06 04:23:43.583,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-05 10:22:06.914,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-04 05:25:14.326,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-03 07:12:32.666,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
2025-06-02 04:38:01.195,windows,METRICS:record-login-response,07a9513c-65f5-4458-8146-221b7399d5e2,931d75f5-052f-4709-8459-1088e04fbb15
